"","nombre_familia","numero_contratos","numero_entidades","numero_contratistas","contratos_cerrados","contratos_adicion","IHH_frecuencia","IHH_valor","DN","puntaje_concentracion"
"123","Medicamentos para el sistema nervioso autónomo",417,40,91,0.882494004796163,0.0383693045563549,567.660979130365,645.217758459907,0.0544987087253274,606.439368795136
"124","Materiales didácticos profesionales y de desarrollo y accesorios y suministros",165,69,100,0.781818181818182,0.0606060606060606,283.195592286501,935.189042624028,0.0223946784922395,609.192317455265
"125","Materiales para acabado de exteriores",279,104,151,0.888888888888889,0.039426523297491,926.632494443802,300.438259171473,0.0893994481833888,613.535376807638
"126","Electrónica de consumo",70,37,60,0.928571428571429,0.0285714285714286,208.163265306122,1032.78507707496,0.00662525879917184,620.474171190542
"127","Productos de rehabilitación y terapia ocupacional y física",129,62,91,0.837209302325581,0.0387596899224806,194.09891232498,1083.59873238628,0.0117490310077519,638.848822355629
"128","Distribución de fluidos y gas",204,93,113,0.813725490196078,0.122549019607843,242.695117262591,1035.03717877131,0.0194629575968318,638.866148016951
"129","Tratamientos de ventanas",57,36,38,0.859649122807018,0.0350877192982456,501.692828562635,777.320879284198,0.0332080200501253,639.506853923416
"130","Herramientas especializadas automotrices",219,101,156,0.634703196347032,0.0639269406392694,101.957840745606,1194.07502154344,0.005655397762976,648.016431144523
"131","Industrias de fibras, textiles y de tejidos",63,42,50,0.80952380952381,0.0158730158730159,264.550264550265,1042.75870478144,0.010752688172043,653.65448466585
"132","Servicios fotográficos",32,24,30,0.84375,0.09375,351.5625,966.87187049675,0.00403225806451613,659.217185248375
"133","Artículos de tocador y cuidado personal",225,69,116,0.906666666666667,0.0444444444444444,400.79012345679,918.615563543942,0.0357936507936508,659.702843500366
"134","Fabricación de productos eléctricos e instrumentos de precisión",32,18,29,0.71875,0.0625,390.625,935.220931217051,0.00806451612903226,662.922965608526
"135","Estructuras y edificios prefabricados",27,22,26,0.888888888888889,0.111111111111111,397.805212620027,935.794293684183,0.00284900284900285,666.799753152105
"136","Recipientes y almacenamiento",237,65,103,0.957805907172996,0.0253164556962025,484.786982143175,854.947243964181,0.0444468282914968,669.867113053678
"137","Productos de cereales y legumbres",722,62,138,0.872576177285319,0.0304709141274238,918.386138841783,426.530571441752,0.0905790280504532,672.458355141767
"138","Maquinaria, equipo y suministros de procesos industriales",63,24,46,0.920634920634921,0.126984126984127,335.097001763668,1033.07336271971,0.017921146953405,684.08518224169
"139","Productos lácteos y huevos",765,54,121,0.913725490196078,0.0352941176470588,716.698705626041,674.112369332493,0.0704547787701468,695.405537479267
"140","Servicios de construcción de edificaciones no residenciales",208,105,173,0.807692307692308,0.211538461538462,75.3513313609467,1322.32422296369,0.00274061687105165,698.837777162321
"141","Medicamentos que afectan al sistema gastrointestinal",542,53,116,0.907749077490775,0.0129151291512915,423.46917934124,979.652415680424,0.0405767643628377,701.560797510832
"142","Alambres, cables y arneses",63,35,54,0.841269841269841,0,209.120685311161,1195.69784054662,0.00512032770097286,702.409262928891
"143","Medicamentos inmunomoduladores",327,54,100,0.923547400611621,0.055045871559633,368.749357050005,1040.33451306147,0.0339205643421324,704.541935055739
"144","Protección contra incendios",318,181,194,0.817610062893082,0.0220125786163522,82.0774494679799,1335.99699404296,0.00507906275420114,709.037221755468
"145","Cuerda, cadena, cable, alambre y correa",75,10,38,0.973333333333333,0,602.666666666667,823.952013271283,0.0475675675675676,713.309339968975
"146","Circuitos impresos, circuitos integrados y micro ensamblajes",81,50,73,0.802469135802469,0.037037037037037,150.891632373114,1276.59122499008,0.00277777777777778,713.741428681595
"147","Aceites y grasas comestibles",72,26,39,0.611111111111111,0.0277777777777778,416.666666666667,1030.38310666773,0.028169014084507,723.524886667199
"148","Equipos, suministros y componentes eléctricos",862,238,558,0.837587006960557,0.068445475638051,41.4241956061821,1438.42218815049,0.00298579054733206,739.923191878334
"149","Utensilios de cocina domésticos",250,48,101,0.884,0.08,640,844.220341386102,0.0602409638554217,742.110170693051
"150","Iluminación, artefactos y accesorios",113,57,77,0.867256637168142,0.0176991150442478,234.160858328765,1264.79948294635,0.0146965865992415,749.480170637559
"151","Limpieza de residuos tóxicos y peligrosos",78,58,47,0.717948717948718,0.102564102564103,368.178829717291,1135.59052282389,0.0243090243090243,751.884676270593
"152","Medicamentos cardiovasculares",1199,97,154,0.774812343619683,0.0266889074228524,1025.85487906589,515.0400332827,0.101836393989983,770.447456174294
"153","Clubes",66,29,51,0.772727272727273,0.0151515151515152,243.342516069789,1305.99692820666,0.00932400932400932,774.669722138226
"154","Productos de construcción estructurales",27,19,24,0.518518518518518,0.0740740740740741,480.109739368999,1069.47267147806,0.0113960113960114,774.791205423528
"155","Industrias de plásticos y productos químicos",106,47,62,0.726415094339623,0.0754716981132075,388.038447846209,1233.05649581469,0.0296495956873315,810.547471830451
"156","Almacenaje",298,98,178,0.848993288590604,0.124161073825503,105.851087788838,1517.9922271165,0.00725374550877907,811.92165745267
"157","Horticultura",34,20,28,0.941176470588235,0.0588235294117647,415.22491349481,1224.11238768114,0.0124777183600713,819.668650587974
"158","Combustibles",3620,524,884,0.765745856353591,0.0997237569060773,69.2286560239309,1603.90712450131,0.00664845909938187,836.567890262622
"159","Elementos y gases",743,250,178,0.787348586810229,0.149394347240915,450.883888930149,1251.51843056044,0.0438014460209031,851.201159745294
"160","Caucho y elastómeros",43,25,36,0.86046511627907,0.0232558139534884,319.091400757166,1393.03097476738,0.008859357696567,856.061187762272
"161","Equipo y suministros post mortem y funerarios",23,15,21,0.956521739130435,0.0869565217391304,510.396975425331,1224.04722264353,0.00790513833992095,867.22209903443
"162","Condiciones sociopolíticas",39,1,19,1,0.307692307692308,861.275476660092,907.76221930995,0.0620782726045884,884.518847985021
"163","Medios fotográficos y de grabación",30,21,27,0.833333333333333,0.0666666666666667,422.222222222222,1379.51581388416,0.00919540229885057,900.86901805319
"164","Equipo de apoyo para Construcción y Mantenimiento",656,185,344,0.714939024390244,0.0548780487804878,167.311124330756,1640.5245190818,0.0152299385589276,903.917821706277
"165","Aspecto personal",33,24,30,0.666666666666667,0,358.126721763085,1463.69378865873,0.00568181818181818,910.910255210906
"166","Medicamentos que afectan al sistema respiratorio",1732,196,172,0.806004618937644,0.0381062355658199,1347.93241203484,485.024525930689,0.134293410609147,916.478468982764
"167","Orden público y seguridad",263,77,129,0.836501901140684,0.228136882129278,195.318712139831,1674.45985466633,0.0157896264476243,934.889283403078
"168","Organizaciones, asociaciones y movimientos cívicos",30,18,25,0.8,0.233333333333333,511.111111111111,1364.67854710023,0.0183908045977011,937.894829105668
"169","Instalaciones de plomería",89,36,65,0.820224719101124,0.0224719101123595,228.50650170433,1690.66694701888,0.0117466802860061,959.586724361607
"170","Filtrado y purificación industrial",94,40,64,0.872340425531915,0.074468085106383,215.029425079221,1717.91517770982,0.0109814687714482,966.47230139452
"171","Instalaciones de tubos y tuberías",25,14,22,0.88,0.04,496,1467.1597892118,0.01,981.579894605902
